# LAMMPS data file written by OVITO
4000 atoms
1 atom types
-18.0750008 18.0750008 xlo xhi
-18.0750008 18.0750008 ylo yhi
-18.0750008 18.0750008 zlo zhi

Atoms # atomic

1 1 -17.9611702 -17.9425984 -18.0421791
2 1 -16.0899677 -16.1674671 -18.1408043
3 1 -16.2127724 -18.1030922 -16.3634033
4 1 -17.9214002 -16.2213917 -16.333561
5 1 -14.4191151 -18.1264439 -18.202137
6 1 -14.4216099 -16.207243 -16.3155193
7 1 -18.0537891 -14.3574429 -17.9955578
8 1 -16.1207886 -14.3271132 -16.3826714
9 1 -14.2429562 -14.4313336 -18.2617855
10 1 -18.1123352 -18.0681057 -14.451252
11 1 -16.2097073 -16.2488938 -14.6259575
12 1 -14.4110899 -18.1831188 -14.710867
13 1 -18.0235424 -14.3436699 -14.4357796
14 1 -14.4633084 -14.3530331 -14.5121432
15 1 -12.6541996 -16.3259697 -18.1578636
16 1 -12.742405 -18.1628323 -16.3859711
17 1 -10.8001385 -17.9770776 -18.2489586
18 1 -10.946907 -16.2393913 -16.3889313
19 1 -12.7058583 -14.4244652 -16.360323
20 1 -10.7855339 -14.39287 -18.1670113
21 1 -12.6347142 -16.2803345 -14.4692078
22 1 -10.9894924 -18.0944271 -14.518961
23 1 -11.0207977 -14.4456854 -14.5238018
24 1 -9.0071707 -16.2450848 -18.0888271
25 1 -9.1742916 -17.9314366 -16.2268276
26 1 -7.2748623 -17.8953228 -18.0545464
27 1 -7.201622 -16.2845783 -16.1262417
28 1 -9.0323315 -14.5286999 -16.2293148
29 1 -7.1809444 -14.3951836 -18.048584
30 1 -9.1849918 -16.1849518 -14.4366474
31 1 -7.3443794 -17.9824352 -14.4211388
32 1 -7.3365345 -14.298049 -14.4801111
33 1 -5.405076 -16.2078285 -18.0848732
34 1 -5.5594731 -17.9785462 -16.2176781
35 1 -3.7452126 -18.1160278 -18.0982132
36 1 -3.6234226 -16.3730297 -16.2289181
37 1 -5.3330298 -14.4579764 -16.1940003
38 1 -3.696374 -14.4545784 -18.1561508
39 1 -5.4464674 -16.3633957 -14.3964853
40 1 -3.5309878 -18.1713657 -14.544693
41 1 -3.5768986 -14.4607382 -14.3281975
42 1 -1.9604874 -16.2291775 -18.0593853
43 1 -1.8099575 -18.1934776 -16.3751583
44 1 -2.0061092 -14.5290833 -16.3280563
45 1 -1.7588787 -16.2507057 -14.4034977
46 1 0.0424385 -18.0009098 -18.2191258
47 1 1.9031888 -16.2807598 -18.1097164
48 1 1.8650132 -18.0202274 -16.2980576
49 1 -0.049633 -16.1972942 -16.4103871
50 1 3.6789131 -17.9413452 -18.176487
51 1 3.7030983 -16.0758877 -16.291317
52 1 -0.2140446 -14.5461865 -18.0882874
53 1 1.7599259 -14.4784012 -16.4803334
54 1 3.7918473 -14.5570526 -18.2499085
55 1 0.0696964 -18.0734367 -14.4480353
56 1 1.8111878 -16.1386051 -14.5518646
57 1 3.6210728 -17.8525048 -14.5632344
58 1 -0.0873737 -14.4591332 -14.5923529
59 1 3.7156067 -14.4910069 -14.3815556
60 1 5.4957409 -16.187006 -18.0541687
61 1 5.5895138 -18.00527 -16.3217793
62 1 7.2901535 -18.1269722 -18.0138359
63 1 7.3794441 -16.2071438 -16.2966557
64 1 5.4994641 -14.317606 -16.3414135
65 1 7.3048306 -14.4940396 -18.08111
66 1 5.6117459 -16.2388039 -14.5502491
67 1 7.2143116 -17.9980374 -14.5686169
68 1 7.2332897 -14.3711796 -14.4136562
69 1 9.1200657 -16.1786766 -18.0323238
70 1 9.1072331 -18.0180416 -16.2760754
71 1 10.964367 -18.0422039 -18.0515327
72 1 10.9105034 -16.1172352 -16.3615532
73 1 9.1100178 -14.3988352 -16.3050022
74 1 10.9684162 -14.3908463 -18.1057682
75 1 9.0498276 -16.1009502 -14.5070858
76 1 10.952366 -18.0017967 -14.4442749
77 1 10.8442402 -14.4154282 -14.2867336
78 1 12.8135491 -16.2488041 -18.0615349
79 1 12.7412129 -17.9937172 -16.1934395
80 1 12.7288857 -14.4234886 -16.2069206
81 1 12.63027 -16.2013454 -14.3962317
82 1 14.5122032 -18.0903797 -18.1640244
83 1 16.2872734 -16.1640511 -18.0204201
84 1 16.3391495 -18.0644836 -16.2219257
85 1 14.4615174 -16.2730599 -16.2803478
86 1 14.4811478 -14.3388624 -18.0267448
87 1 16.2351112 -14.3512249 -16.31246
88 1 14.4232712 -17.891531 -14.4197293
89 1 16.2951546 -16.1862106 -14.5198212
90 1 14.4256592 -14.4771424 -14.4181385
91 1 -16.2267017 -12.6209049 -18.162756
92 1 -17.9996338 -12.6139279 -16.3059178
93 1 -14.410511 -12.5236264 -16.3150883
94 1 -18.0938931 -10.819912 -17.9663678
95 1 -16.1814137 -10.8659306 -16.3237076
96 1 -14.3650704 -10.7195235 -18.1632156
97 1 -16.2028828 -12.6017819 -14.5620089
98 1 -18.016983 -10.7511187 -14.4759827
99 1 -14.4620362 -10.7188368 -14.41926
100 1 -12.6651535 -12.4686775 -18.142849
101 1 -10.8604374 -12.6483794 -16.3461151
102 1 -12.5902138 -10.7661934 -16.2908363
103 1 -10.8884526 -10.8853436 -18.0353394
104 1 -12.7009049 -12.6155186 -14.6137867
105 1 -10.8276844 -10.7632294 -14.4713373
106 1 -9.0572023 -12.6958809 -18.1893807
107 1 -7.2517271 -12.7191973 -16.4352551
108 1 -9.0618649 -10.8721486 -16.2274094
109 1 -7.1601954 -10.9119864 -17.9670964
110 1 -9.2188645 -12.7049179 -14.4059563
111 1 -7.316001 -10.8371201 -14.4985047
