Step Time Temp Press Volume PotEng KinEng TotEng Enthalpy
1000 0.999 295.797007815537 19260.3826280372 47241.633375 -3.50066928934162 0.0382252054297722 -13849.7763356474 -13281.8664113813
2000 1.999 298.428799794888 19360.5495050127 47241.633375 -3.5010091020978 0.0385653061961798 -13849.7751836065 -13278.9117477401
3000 2.999 299.307318744401 19390.8281064423 47241.633375 -3.50104148348111 0.0386788352936074 -13849.45059275 -13277.6943647425
4000 3.999 299.183052382714 19398.1892518848 47241.633375 -3.50102564562097 0.0386627766213491 -13849.4514759985 -13277.4781979131
5000 4.999 296.874940505562 19537.8390788354 47241.633375 -3.50072696970439 0.0383645043321511 -13849.449861489 -13273.358881062
6000 5.999 302.196227876454 19278.5395851361 47241.633375 -3.50141537173349 0.039052162751705 -13849.4528359272 -13281.0075372435
7000 6.999 302.727513801873 19241.2622550176 47241.633375 -3.50148402296527 0.0391208196789372 -13849.4528131453 -13282.1066704926
8000 7.999 298.111554846279 19399.6343212112 47241.633375 -3.50088768064208 0.038524309319904 -13849.4534852887 -13277.437598018
9000 8.999 303.621370561763 19173.1224228447 47241.633375 -3.50160012411018 0.0392363308483163 -13849.4551730475 -13284.1181954086
10000 9.999 301.61731328565 19258.9588493348 47241.633375 -3.50134117778405 0.0389773508754011 -13849.4553076346 -13281.5873647803
11000 10.999 300.683358742251 19322.5673410633 47241.633375 -3.50122034140492 0.0388566579564728 -13849.4547337938 -13279.7112366259
12000 11.999 300.445506356966 19373.0746860912 47241.633375 -3.50118924209208 0.0388259208088708 -13849.4532851329 -13278.2205328944
13000 12.999 302.638780812485 19251.067115191 47241.633375 -3.50147279985154 0.0391093529072724 -13849.4537877771 -13281.8185398919
14000 13.999 301.901359141951 19263.6194705242 47241.633375 -3.50137748285372 0.0390140575050211 -13849.4537013948 -13281.4483358798
15000 14.999 299.885198144693 19495.4540498691 47241.633375 -3.5011167108184 0.0387535133944879 -13849.4527896956 -13274.6115704523
16000 15.999 301.962989596525 19306.4726947217 47241.633375 -3.5013857750082 0.0390220218749254 -13849.4550125331 -13280.1860806716
17000 16.999 302.587510056936 19254.03580242 47241.633375 -3.50161861557778 0.0391027272987922 -13850.0635531159 -13282.3407707839
18000 17.999 301.231456112174 19352.7178395686 47241.633375 -3.50144294962664 0.0389274873901969 -13850.0618489458 -13279.4293368681
